,date,country,Access to electricity (% of population),"Agriculture, forestry, and fishing, value added (% of GDP)",Broad money (% of GDP)
0,2000,Afghanistan,4.4,,
1,2000,Albania,99.4,22.1790139473687,63.5599468122678
2,2000,Algeria,98.6,8.39504849504573,37.8297248414823
3,2001,Afghanistan,9.3,,
4,2001,Albania,99.4,20.4524054141319,67.4664768586027
5,2001,Algeria,98.6,8.886179657499,52.3817644227651
6,2002,Afghanistan,14.1,38.6278918638443,
7,2002,Albania,99.4,19.7639164696809,64.3805252433391
8,2002,Algeria,98.6,8.41302644785912,57.8750799363848
9,2003,Afghanistan,19,37.4188554431481,
10,2003,Albania,99.4,19.8076203314692,63.2967127997241
11,2003,Algeria,98.6,8.45671950735323,58.0159636711519
12,2004,Afghanistan,23.8,29.7210671376957,
13,2004,Albania,99.4,18.5630799913995,66.1759603765893
14,2004,Algeria,98.6,7.72217403415641,55.0218644144851
15,2005,Afghanistan,28.7,31.114854912062,
16,2005,Albania,99.4,17.1247178955729,69.6480677719623
17,2005,Algeria,98.6,6.5592713699842,51.8925610676587
18,2006,Afghanistan,33.5,28.6359685844686,23.3438645266527
19,2006,Albania,99.4,16.0415750334868,74.2421409522518
20,2006,Algeria,98.7,6.36600271426263,54.4649954975876
21,2007,Afghanistan,38.4,30.1050113574013,23.833664421484
22,2007,Albania,99.4,15.5325494481234,75.3629870166826
23,2007,Algeria,98.7,6.32601878401142,60.7173627576789
24,2008,Afghanistan,42.4,24.8922700059742,29.5122807993009
25,2008,Albania,100,15.422100399492,73.3334018869234
26,2008,Algeria,99.3,5.54975092049628,59.7094462183175
27,2009,Afghanistan,48.3,29.2975010547259,33.0609569578245
28,2009,Albania,99.6,15.2792217271528,74.3824850094564
29,2009,Algeria,98.8,8.01121741497815,66.7819216878756
30,2010,Afghanistan,42.7,26.2100685374552,35.3505617153186
31,2010,Albania,99.6,16.3586081914252,78.0331538048733
32,2010,Algeria,98.9,7.53171561491377,62.615639276869
33,2011,Afghanistan,43.2,23.7436639877543,36.6242278045429
34,2011,Albania,99.7,16.7202229491786,81.7533775274234
35,2011,Algeria,99,7.08352512171367,62.3509795811349
36,2012,Afghanistan,69.1,24.390873626371,32.9136922701029
37,2012,Albania,99.9,17.5913685516371,84.7935078469227
38,2012,Algeria,98.8,8.02697167412095,62.5440245522635
39,2013,Afghanistan,68,22.8106627361766,32.6820168994225
40,2013,Albania,99.9,18.924817420614,84.968214908499
41,2013,Algeria,99.2,9.12007464194984,65.5009854719817
42,2014,Afghanistan,89.5,22.1370413719574,34.2095967895183
43,2014,Albania,100,19.2377589164282,85.2116447508147
44,2014,Algeria,99.3,9.40707440856373,70.9674793280753
45,2015,Afghanistan,71.5,20.6343227166798,33.9280526549766
46,2015,Albania,100,18.7471602773412,84.1762421576985
47,2015,Algeria,99.4,10.5327896965018,72.5912032929841
48,2016,Afghanistan,97.7,25.7403140364582,37.2228186582708
49,2016,Albania,99.9,19.167190753497,84.8926416816837
50,2016,Algeria,99.4,11.0683130545794,69.8380710329262
51,2017,Afghanistan,97.7,26.4201990834448,36.8612612972957
52,2017,Albania,99.9,18.079078214296,80.2333904511715
53,2017,Algeria,99.5,11.0318809304784,71.0633951979821
54,2018,Afghanistan,93.4,22.0428967527575,36.6074938854128
55,2018,Albania,100,17.9155558179549,76.1147973097136
56,2018,Algeria,99.6,11.2438301354995,73.341677611896
57,2019,Afghanistan,97.7,25.7739707394105,34.9592143142587
58,2019,Albania,100,18.1603973706713,77.0228458919593
59,2019,Algeria,99.5,11.4791798857164,71.5054716604823
60,2020,Afghanistan,97.7,29.9755825210461,37.5081887366299
61,2020,Albania,100,18.8061378649169,87.9833118311654
62,2020,Algeria,99.7,12.8341693887186,84.871788930535
